"ID","trialNum","nHits","setsize","isLaps","true_pCorr","true_pLapse"
1,1,1,4,1,0.771560450607522,0.144369671812197
1,2,2,4,1,0.771560450607522,0.144369671812197
1,3,3,4,1,0.771560450607522,0.144369671812197
1,4,2,4,1,0.771560450607522,0.144369671812197
1,5,2,4,1,0.771560450607522,0.144369671812197
1,6,1,4,1,0.771560450607522,0.144369671812197
1,7,2,4,1,0.771560450607522,0.144369671812197
1,8,3,4,1,0.771560450607522,0.144369671812197
1,9,4,4,0,0.771560450607522,0.144369671812197
1,10,1,4,0,0.771560450607522,0.144369671812197
1,11,3,4,0,0.771560450607522,0.144369671812197
1,12,4,4,0,0.771560450607522,0.144369671812197
1,13,3,4,0,0.771560450607522,0.144369671812197
1,14,2,4,0,0.771560450607522,0.144369671812197
1,15,3,4,0,0.771560450607522,0.144369671812197
1,16,4,4,0,0.771560450607522,0.144369671812197
1,17,3,4,0,0.771560450607522,0.144369671812197
1,18,4,4,0,0.771560450607522,0.144369671812197
1,19,2,4,0,0.771560450607522,0.144369671812197
1,20,3,4,0,0.771560450607522,0.144369671812197
1,21,3,4,0,0.771560450607522,0.144369671812197
1,22,4,4,0,0.771560450607522,0.144369671812197
1,23,2,4,0,0.771560450607522,0.144369671812197
1,24,3,4,0,0.771560450607522,0.144369671812197
1,25,4,4,0,0.771560450607522,0.144369671812197
1,26,4,4,0,0.771560450607522,0.144369671812197
1,27,4,4,0,0.771560450607522,0.144369671812197
1,28,2,4,0,0.771560450607522,0.144369671812197
1,29,2,4,0,0.771560450607522,0.144369671812197
1,30,4,4,0,0.771560450607522,0.144369671812197
1,31,3,4,0,0.771560450607522,0.144369671812197
1,32,2,4,0,0.771560450607522,0.144369671812197
1,33,3,4,0,0.771560450607522,0.144369671812197
1,34,3,4,0,0.771560450607522,0.144369671812197
1,35,3,4,0,0.771560450607522,0.144369671812197
1,36,2,4,0,0.771560450607522,0.144369671812197
1,37,2,4,0,0.771560450607522,0.144369671812197
1,38,3,4,0,0.771560450607522,0.144369671812197
1,39,4,4,0,0.771560450607522,0.144369671812197
1,40,3,4,0,0.771560450607522,0.144369671812197
1,1,5,8,1,0.733552263357278,0.0660089683201916
1,2,2,8,1,0.733552263357278,0.0660089683201916
1,3,7,8,0,0.733552263357278,0.0660089683201916
1,4,7,8,0,0.733552263357278,0.0660089683201916
1,5,7,8,0,0.733552263357278,0.0660089683201916
1,6,5,8,0,0.733552263357278,0.0660089683201916
1,7,7,8,0,0.733552263357278,0.0660089683201916
1,8,6,8,0,0.733552263357278,0.0660089683201916
1,9,4,8,0,0.733552263357278,0.0660089683201916
1,10,6,8,0,0.733552263357278,0.0660089683201916
1,11,4,8,0,0.733552263357278,0.0660089683201916
1,12,8,8,0,0.733552263357278,0.0660089683201916
1,13,3,8,0,0.733552263357278,0.0660089683201916
1,14,6,8,0,0.733552263357278,0.0660089683201916
1,15,7,8,0,0.733552263357278,0.0660089683201916
1,16,6,8,0,0.733552263357278,0.0660089683201916
1,17,5,8,0,0.733552263357278,0.0660089683201916
1,18,6,8,0,0.733552263357278,0.0660089683201916
1,19,5,8,0,0.733552263357278,0.0660089683201916
1,20,6,8,0,0.733552263357278,0.0660089683201916
1,21,5,8,0,0.733552263357278,0.0660089683201916
1,22,7,8,0,0.733552263357278,0.0660089683201916
1,23,7,8,0,0.733552263357278,0.0660089683201916
1,24,6,8,0,0.733552263357278,0.0660089683201916
1,25,8,8,0,0.733552263357278,0.0660089683201916
1,26,6,8,0,0.733552263357278,0.0660089683201916
1,27,5,8,0,0.733552263357278,0.0660089683201916
1,28,8,8,0,0.733552263357278,0.0660089683201916
1,29,3,8,0,0.733552263357278,0.0660089683201916
1,30,6,8,0,0.733552263357278,0.0660089683201916
1,31,7,8,0,0.733552263357278,0.0660089683201916
1,32,7,8,0,0.733552263357278,0.0660089683201916
1,33,7,8,0,0.733552263357278,0.0660089683201916
1,34,6,8,0,0.733552263357278,0.0660089683201916
1,35,6,8,0,0.733552263357278,0.0660089683201916
1,36,6,8,0,0.733552263357278,0.0660089683201916
1,37,6,8,0,0.733552263357278,0.0660089683201916
1,38,7,8,0,0.733552263357278,0.0660089683201916
1,39,8,8,0,0.733552263357278,0.0660089683201916
1,40,8,8,0,0.733552263357278,0.0660089683201916
2,1,0,4,1,0.748409493481423,0.154007009615244
2,2,0,4,1,0.748409493481423,0.154007009615244
2,3,3,4,1,0.748409493481423,0.154007009615244
2,4,2,4,1,0.748409493481423,0.154007009615244
2,5,2,4,1,0.748409493481423,0.154007009615244
2,6,3,4,1,0.748409493481423,0.154007009615244
2,7,1,4,1,0.748409493481423,0.154007009615244
